playerid,Name,BABIP_2016
12093,Branden Pinder,0.75
12399,Taylor Motter,0.5
9063,Alexi Amarista,0.0
10529,Dean Kiekhefer,0.301
14862,Zack Godley,0.313
1368,Andrew Bailey,0.276
6941,Joakim Soria,0.32299999999999995
15423,Andrew Heaney,0.313
13188,Adalberto Mejia,0.41700000000000004
8887,Matt Reynolds,0.318
12555,Tony Cingrani,0.27699999999999997
4732,Matt Cain,0.321
11691,Tayron Guerrero,0.375
5559,Jo-Jo Reyes,0.33299999999999996
3364,Miguel Montero,0.5
13485,Samuel Tuivailala,0.375
3211,Tyler Ladendorf,0.25
15552,Chad Green,0.314
2170,Chad Qualls,0.32799999999999996
5791,Jorge Rondon,0.5710000000000001
14391,Yohander Mendez,0.33299999999999996
12118,Kendry Flores,0.111
14844,Matt Dermody,0.556
13166,Jed Bradley,0.304
11580,Conor Mullee,0.0
9346,Brandon Morrow,0.309
11350,Pat Dean,0.35
7324,Chris Gimenez,0.25
17237,Austin Brice,0.19399999999999998
14741,Tyler Olson,0.273
6249,Trevor Cahill,0.24600000000000002
13331,William Cuevas,0.33299999999999996
14444,Hyun-Jin Ryu,0.41200000000000003
1159,Andrew Romine,0.0
5089,Scott Diamond,0.4
13834,Alec Mills,0.33299999999999996
14696,Keone Kela,0.304
10732,Drew Hutchison,0.32799999999999996
13393,Brady Rodgers,0.405
10261,Alexi Ogando,0.32299999999999995
13345,Luis Cessa,0.233
14699,Jonathan Aro,0.33299999999999996
9807,Ryan Goins,0.5
11384,Tommy Kahnle,0.264
12304,Chris Bassitt,0.33
14914,Jason Hursh,0.5710000000000001
4235,Jered Weaver,0.301
3132,Tony Watson,0.23199999999999998
11132,A.J. Griffin,0.27399999999999997
11334,Tyler Lyons,0.22
13453,Eddie Butler,0.354
16588,Jonathan Holder,0.26899999999999996
15846,Adam Plutko,0.33299999999999996
10044,Ashur Tolliver,0.308
5231,Vin Mazzaro,0.636
4359,Kyle Drabek,0.2
1333,Curtis Partch,0.5
10028,Christian Bethancourt,0.2
15179,Daniel Wright,0.36200000000000004
13395,Damien Magnifico,0.182
5448,Jesse Chavez,0.316
3832,Matt Buschmann,0.1
1886,Sean Burnett,0.235
13761,Chris Stratton,0.32299999999999995
6984,Luis Garcia,0.373
1918,Matt Thornton,0.33899999999999997
3677,Logan Ondrusek,0.381
14379,Jake Smith,0.364
7888,Ryan Flaherty,0.33299999999999996
9780,Blake Smith,0.33299999999999996
10882,Jared Hoying,0.0
5057,Yohan Flande,0.47100000000000003
15126,Tyler Danish,0.667
15564,Tyler White,0.0
9178,Kyle Lobstein,0.29100000000000004
1776,Chin-hui Tsao,0.16699999999999998
15240,Kevin McCarthy,0.35700000000000004
5746,Eric O'Flaherty,0.36700000000000005
7119,Dustin Antolin,0.375
14857,Joe Mantiply,0.545
12277,Leonel Campos,0.268
18,Neftali Feliz,0.24
11394,Alex Wimmers,0.267
6562,Alex Cobb,0.355
12232,Cody Hall,0.33299999999999996
5088,Franklin Morales,0.182
15089,Matt Marksberry,0.33299999999999996
6324,Al Alburquerque,0.125
11681,Vicente Campos,0.125
4053,Steve Johnson,0.22699999999999998
5028,Bo Schultz,0.26899999999999996
17695,Koda Glover,0.214
13780,Daniel Stumpf,0.4
10075,Caleb Cotham,0.37200000000000005
7312,Josh Collmenter,0.254
16017,Odrisamer Despaigne,0.337
9756,David Hale,0.375
12962,Abel De Los Santos,0.3
15928,Cody Ege,0.389
7655,Wilfredo Boscan,0.26
14814,Buck Farmer,0.266
8844,Antonio Bastardo,0.278
6653,Jim Henderson,0.304
11509,Brandon Cunniff,0.267
15684,Miguel Castro,0.326
6329,John Danks,0.33799999999999997
10302,Chris Heston,0.45
5519,Ruben Tejada,0.0
11502,Parker Bridwell,0.33299999999999996
10265,Justin Marks,0.231
9926,Bobby Parnell,0.353
12166,David Goforth,0.385
9894,Mike Broadway,0.389
12854,Elvis Araujo,0.37799999999999995
14506,J.B. Wendelken,0.375
13685,Nick Goody,0.311
12297,Evan Marshall,0.441
4001,Enny Romero,0.294
3950,Matt Magill,0.308
2074,Chien-Ming Wang,0.309
4920,Joseph Colon,0.32299999999999995
14605,James Hoyt,0.22899999999999998
11827,Steve Delabar,0.222
10534,Jake Petricka,0.304
10620,Donn Roach,0.273
13339,Adrian Sampson,0.375
5535,Phil Coke,0.281
11137,Mike Bolsinger,0.32899999999999996
11928,David Rollins,0.313
12264,Colton Murray,0.311
12361,Spencer Patton,0.27899999999999997
18311,Carson Fulmer,0.313
13287,Jesse Hahn,0.32
13323,James Pazos,0.455
12220,Keith Hessler,0.289
9919,A.J. Morris,0.25
6244,Tom Gorzelanny,0.375
14295,Wandy Peralta,0.4
6832,Sam Freeman,0.44
4020,Yusmeiro Petit,0.29100000000000004
2430,Darwin Barney,0.0
12182,Cody Martin,0.299
13424,Drew VerHagen,0.36200000000000004
2134,Adam Loewen,0.3
5200,Kelvin Marte,0.25
13606,Shawn Morimando,0.467
13119,Taylor Jungmann,0.31
16727,Brock Stewart,0.317
7608,Tommy Milone,0.308
5595,Arnold Leon,0.28600000000000003
12673,Roenis Elias,0.419
7407,Javy Guerra,0.235
8302,JC Ramirez,0.273
12360,Kevin Quackenbush,0.26
13418,Chris Beck,0.34600000000000003
5876,Gonzalez Germen,0.303
12825,Joel De La Cruz,0.268
10240,Ariel Pena,0.33299999999999996
15301,Layne Somsen,0.444
7108,Pat Venditte,0.292
10925,Christian Bergman,0.381
10029,Patrick Schuster,0.424
7411,Austin Adams,0.373
3273,Roberto Hernandez,0.321
15542,Chad Girodo,0.242
8037,Paul Clemens,0.27399999999999997
7853,Andrew Albers,0.379
10160,Ryan Weber,0.325
1137,Jerome Williams,0.295
1984,Cory Luebke,0.433
17432,Jeff Hoffman,0.297
1841,Edwin Jackson,0.305
12781,Sean Gilmartin,0.304
3237,T.J. McFarland,0.33299999999999996
3397,Jumbo Diaz,0.239
15463,Jose De Leon,0.28
10528,Drew Hayes,0.387
5861,Jason Motte,0.319
4089,James Russell,0.43799999999999994
8992,Arquimedes Caminero,0.324
12756,Jake Esch,0.342
16977,Trevor Williams,0.366
10835,Michael Mariot,0.245
13736,Michael Roth,0.467
11543,Dayan Diaz,0.33299999999999996
