Name,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
408,Tiago Splitter,splitti01,C,31,ATL,36,2,16.1,2.3,4.3,.523,0.0,0.1,.000,2.3,4.3,.529,.523,1.1,1.3,.813,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2.0,5.6
409,Nik Stauskas,stausni01,SG,22,PHI,73,35,24.8,2.9,7.5,.385,1.5,4.5,.326,1.4,3.0,.473,.483,1.2,1.6,.771,0.3,2.2,2.5,1.9,0.6,0.3,1.3,1.6,8.5
410,Lance Stephenson,stephla01,SF,25,TOT,69,13,19.9,3.3,6.9,.481,0.4,1.1,.385,2.9,5.7,.500,.513,1.3,1.6,.784,0.6,2.7,3.2,1.9,0.6,0.1,1.4,2.0,8.3
410,Lance Stephenson,stephla01,SF,25,LAC,43,10,15.8,1.9,3.9,.494,0.4,1.1,.404,1.5,2.8,.529,.551,0.5,0.7,.700,0.4,2.1,2.5,1.4,0.6,0.1,1.1,1.8,4.7
410,Lance Stephenson,stephla01,SF,25,MEM,26,3,26.6,5.6,11.8,.474,0.4,1.2,.355,5.2,10.7,.487,.492,2.5,3.1,.815,0.8,3.6,4.4,2.8,0.7,0.2,1.8,2.2,14.2
411,Alex Stepheson,stephal01,PF,28,TOT,8,0,9.1,1.1,3.4,.333,0.0,0.0,,1.1,3.4,.333,.333,0.5,1.5,.333,2.4,1.1,3.5,0.3,0.1,0.6,0.0,1.5,2.8
411,Alex Stepheson,stephal01,PF,28,LAC,4,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.5,.000,0.3,0.3,0.5,0.0,0.0,0.5,0.0,1.0,0.5
411,Alex Stepheson,stephal01,PF,28,MEM,4,0,15.3,2.0,6.5,.308,0.0,0.0,,2.0,6.5,.308,.308,1.0,2.5,.400,4.5,2.0,6.5,0.5,0.3,0.8,0.0,2.0,5.0
412,Jarnell Stokes,stokeja01,C,22,TOT,7,0,2.6,0.4,0.7,.600,0.0,0.0,,0.4,0.7,.600,.600,0.1,0.3,.500,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0
412,Jarnell Stokes,stokeja01,C,22,MEM,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
412,Jarnell Stokes,stokeja01,C,22,MIA,5,0,2.8,0.6,1.0,.600,0.0,0.0,,0.6,1.0,.600,.600,0.2,0.4,.500,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0.2,1.4
413,Amar'e Stoudemire,stoudam01,C,33,MIA,52,36,14.7,2.4,4.3,.566,0.0,0.0,,2.4,4.3,.566,.566,1.0,1.3,.746,1.3,3.0,4.3,0.5,0.3,0.8,0.9,1.8,5.8
414,Rodney Stuckey,stuckro01,PG,29,IND,58,1,22.0,3.2,7.6,.413,0.3,1.4,.241,2.8,6.2,.453,.436,2.3,2.7,.829,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,8.9
415,Jared Sullinger,sullija01,PF,23,BOS,81,73,23.6,4.3,10.0,.435,0.4,1.3,.282,4.0,8.7,.458,.453,1.3,2.0,.640,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3
416,Walter Tavares,tavarwa01,C,23,ATL,11,0,6.6,1.0,1.7,.579,0.0,0.0,,1.0,1.7,.579,.579,0.3,0.7,.375,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,2.3
417,Jeff Teague,teaguje01,PG,27,ATL,79,78,28.5,5.5,12.5,.439,1.4,3.5,.400,4.1,9.0,.454,.495,3.3,3.9,.837,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7
418,Mirza Teletovic,teletmi01,PF,30,PHO,79,1,21.3,4.2,9.8,.427,2.3,5.8,.393,1.9,4.0,.476,.544,1.5,2.0,.774,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2.0,12.2
419,Garrett Temple,templga01,SF,29,WAS,80,43,24.4,2.5,6.3,.398,1.1,3.2,.345,1.4,3.1,.453,.486,1.1,1.6,.728,0.5,2.2,2.7,1.8,0.9,0.2,0.8,2.4,7.3
420,Jason Terry,terryja01,SG,38,HOU,72,7,17.5,2.1,5.2,.402,1.3,3.6,.356,0.8,1.6,.504,.525,0.4,0.5,.818,0.2,0.9,1.1,1.4,0.7,0.1,0.7,1.3,5.9
421,Isaiah Thomas,thomais02,PG,26,BOS,82,79,32.2,7.2,16.9,.428,2.0,5.7,.359,5.2,11.2,.462,.488,5.8,6.6,.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2
422,Lance Thomas,thomala01,PF,27,NYK,59,5,22.3,2.9,6.5,.442,0.7,1.8,.404,2.1,4.6,.458,.500,1.7,2.0,.857,0.6,1.6,2.2,0.9,0.4,0.1,1.0,1.8,8.2
423,Hollis Thompson,thompho01,SG,24,PHI,77,17,28.0,3.5,8.8,.397,1.9,5.1,.380,1.6,3.7,.420,.507,0.9,1.2,.719,0.7,2.8,3.5,1.3,0.5,0.3,1.0,2.4,9.8
424,Jason Thompson,thompja02,C,29,TOT,47,7,10.0,1.1,2.3,.481,0.1,0.3,.333,1.0,2.0,.505,.505,0.8,1.1,.704,0.7,2.2,2.9,0.6,0.3,0.4,0.3,1.7,3.1
424,Jason Thompson,thompja02,C,29,GSW,28,1,6.4,0.7,1.5,.476,0.0,0.0,,0.7,1.5,.476,.476,0.7,1.1,.625,0.4,1.6,1.9,0.7,0.1,0.3,0.3,1.4,2.1
424,Jason Thompson,thompja02,C,29,TOR,19,6,15.4,1.7,3.5,.485,0.3,0.8,.333,1.4,2.7,.529,.523,0.9,1.2,.818,1.2,3.1,4.2,0.5,0.4,0.6,0.4,2.1,4.6
425,Klay Thompson,thompkl01,SG,25,GSW,80,80,33.3,8.1,17.3,.470,3.5,8.1,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
426,Tristan Thompson,thomptr01,PF,24,CLE,82,34,27.7,3.0,5.1,.588,0.0,0.0,,3.0,5.1,.588,.588,1.8,3.0,.616,3.3,5.7,9.0,0.8,0.5,0.6,0.7,2.5,7.8
427,Marcus Thornton,thornma01,SG,28,TOT,61,8,18.2,3.5,8.9,.399,1.5,4.4,.337,2.0,4.5,.460,.482,1.1,1.3,.848,0.6,1.8,2.5,1.4,0.8,0.1,0.8,1.5,9.7
427,Marcus Thornton,thornma01,SG,28,HOU,47,6,18.8,3.7,9.3,.400,1.6,4.6,.338,2.1,4.7,.461,.484,1.1,1.2,.879,0.7,1.8,2.4,1.4,0.7,0.1,0.9,1.6,10.0
427,Marcus Thornton,thornma01,SG,28,WAS,14,2,16.0,3.0,7.6,.393,1.3,3.9,.333,1.7,3.8,.453,.477,1.1,1.5,.762,0.5,2.0,2.5,1.4,0.9,0.1,0.8,1.2,8.4
428,Anthony Tolliver,tollian01,PF,30,DET,72,5,18.6,1.8,4.6,.386,1.4,3.8,.360,0.4,0.8,.500,.533,0.4,0.7,.617,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,5.3
429,Axel Toupane,toupaax01,SF,23,DEN,21,0,14.5,1.2,3.3,.357,0.6,1.9,.325,0.6,1.4,.400,.450,0.6,0.8,.765,0.4,1.1,1.5,0.7,0.3,0.3,0.3,1.9,3.6
