RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,year,Player,pos
194.0,"Gorgui Dieng, C",MIN,73.0,30.0,-1.42,0.68,-0.74,2.2,2015,Gorgui Dieng, C
195.0,"Alex Len, C",PHX,69.0,22.0,-2.9,2.16,-0.74,1.59,2015,Alex Len, C
196.0,"Ian Mahinmi, C",IND,61.0,18.8,-3.22,2.47,-0.75,1.13,2015,Ian Mahinmi, C
197.0,"Hedo Turkoglu, SF",LAC,62.0,11.4,-0.04,-0.76,-0.8,0.68,2015,Hedo Turkoglu, SF
198.0,"Wesley Johnson, SF",LAL,76.0,29.5,-0.2,-0.6,-0.8,2.12,2015,Wesley Johnson, SF
200.0,"Dante Cunningham, PF",NO,66.0,25.0,-1.37,0.54,-0.83,1.49,2015,Dante Cunningham, PF
201.0,"Steve Blake, PG",POR,81.0,18.9,-0.12,-0.74,-0.86,1.41,2015,Steve Blake, PG
202.0,"Evan Fournier, SG",ORL,58.0,28.6,0.48,-1.35,-0.87,1.52,2015,Evan Fournier, SG
205.0,"Al Jefferson, C",CHA,65.0,30.6,-1.47,0.56,-0.91,1.75,2015,Al Jefferson, C
206.0,"Courtney Lee, SG",MEM,77.0,30.6,0.23,-1.14,-0.91,2.05,2015,Courtney Lee, SG
210.0,"Bismack Biyombo, C",CHA,64.0,19.4,-2.57,1.58,-0.99,1.02,2015,Bismack Biyombo, C
213.0,"Robert Sacre, C",LAL,67.0,16.9,-2.61,1.59,-1.02,0.93,2015,Robert Sacre, C
214.0,"Kemba Walker, PG",CHA,62.0,34.2,0.97,-2.0,-1.03,1.69,2015,Kemba Walker, PG
215.0,"Marcus Morris, PF",PHX,81.0,25.2,0.87,-1.91,-1.04,1.7,2015,Marcus Morris, PF
216.0,"Aaron Brooks, PG",CHI,82.0,23.0,1.25,-2.33,-1.08,1.46,2015,Aaron Brooks, PG
219.0,"Ersan Ilyasova, PF",MIL,58.0,22.7,1.34,-2.45,-1.11,1.02,2015,Ersan Ilyasova, PF
223.0,"Trevor Booker, PF",UTAH,79.0,19.8,0.39,-1.51,-1.12,1.14,2015,Trevor Booker, PF
225.0,"Ed Davis, PF",LAL,79.0,23.3,-0.26,-0.89,-1.15,1.35,2015,Ed Davis, PF
227.0,"Amar'e Stoudemire, C",DAL/NY,59.0,21.1,-0.05,-1.12,-1.17,0.88,2015,Amar'e Stoudemire, C
228.0,"Omer Asik, C",NO,76.0,26.1,-3.01,1.83,-1.18,1.41,2015,Omer Asik, C
229.0,"Steven Adams, C",OKC,70.0,25.3,-2.72,1.54,-1.18,1.3,2015,Steven Adams, C
230.0,"Mario Chalmers, PG",MIA,80.0,29.6,-1.65,0.45,-1.2,1.65,2015,Mario Chalmers, PG
235.0,"Will Barton, SF",DEN/POR,58.0,16.9,-1.62,0.34,-1.28,0.67,2015,Will Barton, SF
236.0,"Jerami Grant, SF",PHI,65.0,21.2,-2.4,1.12,-1.28,0.94,2015,Jerami Grant, SF
237.0,"Vince Carter, SG",MEM,66.0,16.5,-0.81,-0.49,-1.3,0.7,2015,Vince Carter, SG
239.0,"Taj Gibson, PF",CHI,62.0,27.3,-1.72,0.39,-1.33,1.05,2015,Taj Gibson, PF
241.0,"Luc Richard Mbah a Moute, PF",PHI,67.0,28.6,-3.12,1.78,-1.34,1.21,2015,Luc Richard Mbah a Moute, PF
242.0,"O.J. Mayo, SG",MIL,71.0,23.9,-0.71,-0.66,-1.37,1.05,2015,O.J. Mayo, SG
243.0,"Evan Turner, SG",BOS,82.0,27.6,-1.09,-0.28,-1.37,1.39,2015,Evan Turner, SG
