AST%_advanced,Age,BLK%_advanced,BPM_advanced,DBPM_advanced,DRB%_advanced,DWS_advanced,G_advanced,MP_advanced,OBPM_advanced,ORB%_advanced,OWS_advanced,PER_advanced,Player,Pos,Rk_advanced,STL%_advanced,TRB%_advanced,Tm,USG%_advanced,VORP_advanced,WS/48_advanced,WS_advanced,type,year
7,26,0.3,-7,-3.2,15.5,0.1,34,238,-3.8,6.1,-0.2,8,Luigi Datome,SF,114,1.3,10.6,DET,20.2,-0.3,-0.023,-0.1,advanced,2014
7.1,22,1.1,-5.9,-0.6,13.9,0.4,51,575,-5.3,6.9,-0.3,7.5,Brandon Davies,PF,115,2,10.2,PHI,13.7,-0.6,0.008,0.1,advanced,2014
8,20,6.7,4.5,2.2,23.3,3.2,67,2358,2.3,10,7.2,26.5,Anthony Davis,C,116,2,16.6,NOP,25.2,3.9,0.212,10.4,advanced,2014
4.5,24,3.7,-1.3,0.5,20.9,1.4,63,956,-1.9,11.4,1.2,15.9,Ed Davis,PF,117,0.9,16.1,MEM,17.8,0.2,0.129,2.6,advanced,2014
7.8,28,1.4,-2.5,0.3,16.4,1.8,68,1662,-2.8,7.4,0.2,13.1,Glen Davis,PF,118,1.8,11.9,TOT,19.9,-0.2,0.058,2,advanced,2014
8.2,25,2,-3.2,-1.4,16.4,0.2,22,148,-1.8,3.9,-0.1,11,Austin Daye,SF,119,1.4,10.4,TOT,23.7,0,0.047,0.1,advanced,2014
19.7,26,0.9,-0.4,0.6,13.3,0.7,47,494,-1,3.3,0.3,13.1,Nando De Colo,SF,120,2.3,8.4,TOT,18.6,0.2,0.1,1,advanced,2014
1.9,24,4.5,-6,0,25.8,0.5,31,390,-6,10.7,0.1,10.7,Dewayne Dedmon,C,121,0.9,18.1,TOT,13.1,-0.4,0.07,0.6,advanced,2014
22.1,23,0.3,-2.1,-1.7,8.5,0.7,72,1271,-0.5,2.5,1.4,10.7,Matthew Dellavedova,SG,122,1.3,5.4,CLE,13.2,0,0.078,2.1,advanced,2014
14.6,28,0.3,0.2,-0.2,13.4,2.3,63,2213,0.4,5,2.2,15.2,Luol Deng,SF,123,1.5,9.2,TOT,22.3,1.2,0.098,4.5,advanced,2014
18.9,24,0.7,0.7,-0.7,11.3,3,79,3017,1.4,2,5.8,18.4,DeMar DeRozan,SG,124,1.5,6.6,TOR,28,2,0.141,8.8,advanced,2014
16.3,31,1.2,1.6,1.4,13.8,2.6,79,1974,0.2,4.4,2.3,14.1,Boris Diaw,PF,125,1.1,9.3,SAS,17,1.8,0.12,4.9,advanced,2014
7.2,24,4.6,0.7,3.1,26.9,1.5,60,818,-2.4,13.4,0.7,16.5,Gorgui Dieng,C,126,1.8,20,MIN,16.8,0.5,0.129,2.2,advanced,2014
7.9,27,1.2,0.1,0.4,11.5,1.2,49,1016,-0.3,1.8,1.1,12.2,Chris Douglas-Roberts,SF,128,1.5,6.6,CHA,14.7,0.5,0.113,2.4,advanced,2014
28.1,27,0.6,3.9,-1.1,7.4,2,76,2668,4.9,2.9,8.4,21.4,Goran Dragic,SG,129,2,5.2,PHO,24.5,4,0.186,10.3,advanced,2014
2.2,20,4,1.6,0.5,27.7,3.5,81,2619,1.1,17.5,6.4,22.6,Andre Drummond,C,130,2,22.3,DET,16.7,2.4,0.182,9.9,advanced,2014
8.6,28,0.4,-0.8,-0.4,7.7,1.2,74,1729,-0.3,2.4,1.2,8.9,Jared Dudley,SF,131,1.2,5.1,LAC,13.5,0.5,0.068,2.4,advanced,2014
16,37,4.6,3.2,4,28.3,4.6,74,2158,-0.9,8.6,2.8,21.3,Tim Duncan,C,132,1,18.8,SAS,25.2,2.8,0.164,7.4,advanced,2014
12.3,33,1.4,0.7,1.1,13,4.1,82,2584,-0.3,2.1,2.4,12.6,Mike Dunleavy,SF,133,1.3,7.6,CHI,17,1.8,0.121,6.5,advanced,2014
26.7,25,1.5,8.8,0.4,18.6,4.4,81,3122,8.4,2.2,14.8,29.8,Kevin Durant,SF,134,1.7,10.8,OKC,33,8.5,0.295,19.2,advanced,2014
0,26,0,-15.2,-4.7,9.6,0,2,12,-10.5,9.1,0,-1,Shane Edwards,SF,135,0,9.3,CLE,14.9,0,-0.141,0,advanced,2014
7.1,26,0.4,-1.7,-1.7,10.2,0.2,45,393,0,2.4,0.4,12.2,Wayne Ellington,SG,136,2.1,6.3,DAL,16.4,0,0.084,0.7,advanced,2014
24.8,28,0.6,0,-0.6,9.8,2.1,82,3023,0.6,1.5,2.8,16.8,Monta Ellis,PG,137,2.4,5.6,DAL,26,1.5,0.078,4.9,advanced,2014
0,35,3.1,-7.6,-2.8,4.4,0,2,27,-4.9,0,0,3.9,Melvin Ely,C,138,0,2.2,NOP,10.1,0,0.011,0,advanced,2014
6.1,26,3,-0.1,0.8,18.7,1,66,1209,-0.9,11.1,1.9,16.2,Jeremy Evans,SF,139,1.8,14.8,UTA,15.3,0.6,0.112,2.8,advanced,2014
3.5,33,0.3,-3.6,-0.1,28.4,1.2,54,899,-3.5,14.8,0.3,11.7,Reggie Evans,PF,140,2.1,21.5,TOT,13.4,-0.4,0.08,1.5,advanced,2014
30.4,24,0.9,0.8,-0.4,15.4,1.3,72,2028,1.2,4.3,1.8,18.4,Tyreke Evans,SF,141,2.2,9.8,NOP,27.1,1.4,0.073,3.1,advanced,2014
7.5,24,2.3,1.2,0.9,22.2,2.5,80,2178,0.3,11.8,4,19.8,Kenneth Faried,PF,142,1.6,16.9,DEN,21.3,1.8,0.144,6.5,advanced,2014
