Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Jamaal Magloire,18:00,3,5,.600,0,0,,2,3,.667,3,3,6,0,0,2,1,1,8,,away,/boxscores/200103270SAS.html
Otis Thorpe,7:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,,away,/boxscores/200103270SAS.html
Eldridge Recasner,2:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,,away,/boxscores/200103270SAS.html
Team Totals,240,31,76,.408,2,6,.333,15,19,.789,10,25,35,17,9,6,15,26,79,,away,/boxscores/200103270SAS.html
Tim Duncan,42:00,11,19,.579,0,1,.000,12,12,1.000,5,14,19,3,1,2,3,5,34,,home,/boxscores/200103270SAS.html
Derek Anderson,35:00,6,11,.545,2,4,.500,2,2,1.000,1,3,4,1,2,0,1,0,16,,home,/boxscores/200103270SAS.html
Danny Ferry,33:00,3,8,.375,1,2,.500,0,0,,1,1,2,2,0,1,3,2,7,,home,/boxscores/200103270SAS.html
David Robinson,24:00,2,6,.333,0,0,,6,8,.750,1,5,6,1,0,3,2,5,10,,home,/boxscores/200103270SAS.html
Terry Porter,21:00,2,5,.400,1,2,.500,0,0,,0,3,3,2,0,0,0,1,5,,home,/boxscores/200103270SAS.html
Avery Johnson,27:00,1,5,.200,0,0,,0,0,,0,3,3,5,1,0,2,2,2,,home,/boxscores/200103270SAS.html
Samaki Walker,24:00,1,3,.333,0,0,,3,4,.750,0,5,5,0,0,0,5,3,5,,home,/boxscores/200103270SAS.html
Antonio Daniels,17:00,2,4,.500,0,1,.000,5,6,.833,0,1,1,1,0,0,2,0,9,,home,/boxscores/200103270SAS.html
Sean Elliott,16:00,1,3,.333,0,0,,3,3,1.000,0,1,1,1,0,2,1,1,5,,home,/boxscores/200103270SAS.html
Shawnelle Scott,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,,home,/boxscores/200103270SAS.html
Team Totals,240,29,64,.453,4,10,.400,31,35,.886,8,37,45,16,4,8,19,19,93,,home,/boxscores/200103270SAS.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Nick Van Exel,41:00,16,27,.593,7,11,.636,2,3,.667,0,3,3,10,2,0,1,0,41,,away,/boxscores/200103300CHH.html
James Posey,37:00,6,12,.500,2,4,.500,0,0,,4,4,8,1,1,1,1,4,14,,away,/boxscores/200103300CHH.html
Raef LaFrentz,36:00,4,15,.267,0,2,.000,9,9,1.000,1,11,12,2,1,1,3,1,17,,away,/boxscores/200103300CHH.html
Calbert Cheaney,27:00,2,5,.400,0,0,,0,0,,1,4,5,0,2,0,0,2,4,,away,/boxscores/200103300CHH.html
Antonio McDyess,12:00,0,3,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,,away,/boxscores/200103300CHH.html
Robert Pack,28:00,3,6,.500,1,3,.333,2,5,.400,1,3,4,10,0,0,5,3,9,,away,/boxscores/200103300CHH.html
Ryan Bowen,27:00,3,4,.750,1,2,.500,2,2,1.000,1,2,3,0,1,0,1,1,9,,away,/boxscores/200103300CHH.html
Kevin Willis,25:00,3,7,.429,0,0,,1,2,.500,2,5,7,0,0,0,3,4,7,,away,/boxscores/200103300CHH.html
Voshon Lenard,7:00,0,5,.000,0,1,.000,0,0,,2,0,2,1,0,0,0,0,0,,away,/boxscores/200103300CHH.html
Team Totals,240,37,84,.440,11,23,.478,18,23,.783,12,32,44,24,7,2,14,16,103,,away,/boxscores/200103300CHH.html
Jamal Mashburn,41:00,6,16,.375,1,3,.333,5,6,.833,1,7,8,6,1,0,2,1,18,,home,/boxscores/200103300CHH.html
David Wesley,39:00,10,21,.476,3,9,.333,1,1,1.000,1,2,3,7,3,0,3,2,24,,home,/boxscores/200103300CHH.html
Baron Davis,39:00,3,9,.333,0,3,.000,3,4,.750,0,2,2,10,2,1,2,3,9,,home,/boxscores/200103300CHH.html
Elden Campbell,32:00,5,11,.455,0,0,,5,5,1.000,0,9,9,1,1,1,1,2,15,,home,/boxscores/200103300CHH.html
P.J. Brown,30:00,2,4,.500,0,0,,0,0,,1,5,6,2,1,1,2,5,4,,home,/boxscores/200103300CHH.html
Eddie Robinson,25:00,6,9,.667,0,0,,2,2,1.000,1,3,4,1,0,0,1,0,14,,home,/boxscores/200103300CHH.html
Otis Thorpe,18:00,1,3,.333,0,0,,1,2,.500,2,2,4,1,0,0,1,3,3,,home,/boxscores/200103300CHH.html
Jamaal Magloire,16:00,4,7,.571,0,0,,1,2,.500,1,2,3,0,1,1,1,1,9,,home,/boxscores/200103300CHH.html
Team Totals,240,37,80,.463,4,15,.267,18,22,.818,7,32,39,28,9,4,13,17,96,,home,/boxscores/200103300CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Antoine Walker,40:00,8,19,.421,4,9,.444,5,6,.833,0,4,4,3,1,0,1,4,25,,away,/boxscores/200104010CHH.html
Paul Pierce,39:00,3,19,.158,1,6,.167,5,6,.833,0,4,4,4,1,1,1,3,12,,away,/boxscores/200104010CHH.html
Bryant Stith,33:00,1,10,.100,0,6,.000,2,2,1.000,2,7,9,4,1,0,1,0,4,,away,/boxscores/200104010CHH.html
Randy Brown,22:00,2,4,.500,0,0,,0,0,,0,3,3,3,0,1,2,3,4,,away,/boxscores/200104010CHH.html
Mark Blount,18:00,0,1,.000,0,0,,0,0,,1,4,5,0,2,1,1,3,0,,away,/boxscores/200104010CHH.html
Vitaly Potapenko,30:00,6,7,.857,0,0,,4,4,1.000,3,7,10,0,0,1,4,1,16,,away,/boxscores/200104010CHH.html
Milt Palacio,26:00,4,7,.571,0,0,,3,3,1.000,0,3,3,4,1,0,2,2,11,,away,/boxscores/200104010CHH.html
Eric Williams,24:00,3,9,.333,1,3,.333,0,0,,0,4,4,1,2,0,0,3,7,,away,/boxscores/200104010CHH.html
Tony Battie,7:00,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,1,0,0,,away,/boxscores/200104010CHH.html
Walter McCarty,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,,away,/boxscores/200104010CHH.html
Team Totals,240,27,77,.351,6,24,.250,19,21,.905,7,38,45,19,9,4,13,20,79,,away,/boxscores/200104010CHH.html
David Wesley,38:00,8,20,.400,2,6,.333,3,3,1.000,1,2,3,5,1,0,3,3,21,,home,/boxscores/200104010CHH.html
Jamal Mashburn,38:00,3,15,.200,0,2,.000,2,6,.333,0,7,7,8,1,0,1,0,8,,home,/boxscores/200104010CHH.html
Baron Davis,37:00,3,8,.375,0,2,.000,6,9,.667,1,6,7,5,5,1,2,3,12,,home,/boxscores/200104010CHH.html
P.J. Brown,35:00,2,5,.400,0,0,,2,2,1.000,4,8,12,1,1,0,0,2,6,,home,/boxscores/200104010CHH.html
Elden Campbell,30:00,5,11,.455,0,1,.000,0,2,.000,2,10,12,2,0,2,2,2,10,,home,/boxscores/200104010CHH.html
Jamaal Magloire,18:00,4,5,.800,0,0,,0,0,,1,6,7,0,0,1,1,3,8,,home,/boxscores/200104010CHH.html
Eddie Robinson,17:00,4,8,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,8,,home,/boxscores/200104010CHH.html
Otis Thorpe,13:00,1,2,.500,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,4,,home,/boxscores/200104010CHH.html
Eldridge Recasner,11:00,1,5,.200,1,1,1.000,0,0,,0,0,0,1,0,1,1,2,3,,home,/boxscores/200104010CHH.html
Hersey Hawkins,3:00,0,0,,0,0,,0,1,.000,0,1,1,1,0,0,1,0,0,,home,/boxscores/200104010CHH.html
Team Totals,240,31,79,.392,3,12,.250,15,25,.600,10,42,52,25,8,5,11,18,80,,home,/boxscores/200104010CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Jamal Mashburn,40:00,13,18,.722,1,1,1.000,4,5,.800,1,5,6,7,0,0,3,2,31,,away,/boxscores/200104030NJN.html
Baron Davis,39:00,7,11,.636,1,3,.333,2,2,1.000,1,3,4,5,3,1,1,2,17,,away,/boxscores/200104030NJN.html
P.J. Brown,37:00,5,10,.500,0,0,,9,11,.818,5,7,12,1,2,4,0,3,19,,away,/boxscores/200104030NJN.html
Elden Campbell,28:00,4,10,.400,0,0,,3,4,.750,3,6,9,2,1,2,2,4,11,,away,/boxscores/200104030NJN.html
David Wesley,24:00,1,9,.111,0,2,.000,1,2,.500,2,1,3,8,0,0,1,3,3,,away,/boxscores/200104030NJN.html
Eddie Robinson,27:00,6,11,.545,0,1,.000,0,0,,1,2,3,0,1,0,0,0,12,,away,/boxscores/200104030NJN.html
Jamaal Magloire,20:00,2,3,.667,0,0,,0,0,,0,4,4,0,0,2,1,2,4,,away,/boxscores/200104030NJN.html
Eldridge Recasner,11:00,1,6,.167,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2,,away,/boxscores/200104030NJN.html
Derrick Coleman,10:00,1,3,.333,1,1,1.000,1,4,.250,0,1,1,1,1,0,0,0,4,,away,/boxscores/200104030NJN.html
Hersey Hawkins,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,,away,/boxscores/200104030NJN.html
Tim James,1:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,,away,/boxscores/200104030NJN.html
Team Totals,240,40,83,.482,3,10,.300,20,28,.714,14,30,44,24,8,10,8,17,103,,away,/boxscores/200104030NJN.html
Keith Van Horn,42:00,10,18,.556,1,4,.250,4,5,.800,2,6,8,1,0,1,4,0,25,,home,/boxscores/200104030NJN.html
Johnny Newman,37:00,8,20,.400,1,2,.500,9,10,.900,0,3,3,1,0,0,1,5,26,,home,/boxscores/200104030NJN.html
Lucious Harris,37:00,6,12,.500,0,0,,0,0,,3,8,11,7,1,1,2,1,12,,home,/boxscores/200104030NJN.html
Evan Eschmeyer,33:00,2,10,.200,0,0,,0,2,.000,10,2,12,0,0,3,2,5,4,,home,/boxscores/200104030NJN.html
Doug Overton,33:00,1,10,.100,0,3,.000,1,1,1.000,1,0,1,7,1,0,0,1,3,,home,/boxscores/200104030NJN.html
Mark Strickland,19:00,3,6,.500,0,0,,3,3,1.000,1,3,4,1,0,1,2,3,9,,home,/boxscores/200104030NJN.html
Aaron Williams,17:00,1,4,.250,0,0,,0,0,,0,2,2,1,0,0,0,5,2,,home,/boxscores/200104030NJN.html
Eddie Gill,15:00,2,4,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,5,,home,/boxscores/200104030NJN.html
Stephen Jackson,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,,home,/boxscores/200104030NJN.html
Vladimir Stepania,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,,home,/boxscores/200104030NJN.html
Soumaila Samake,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,home,/boxscores/200104030NJN.html
Team Totals,240,34,86,.395,3,11,.273,17,21,.810,17,26,43,20,2,6,11,20,88,,home,/boxscores/200104030NJN.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Jason Kidd,41:00,11,22,.500,1,4,.250,6,8,.750,2,5,7,10,4,0,6,2,29,,away,/boxscores/200104040CHH.html
Shawn Marion,38:00,10,20,.500,1,2,.500,4,5,.800,1,4,5,4,3,0,0,1,25,,away,/boxscores/200104040CHH.html
Mario Elie,26:00,1,3,.333,0,0,,0,0,,1,3,4,2,2,0,0,1,2,,away,/boxscores/200104040CHH.html
Clifford Robinson,24:00,2,6,.333,0,2,.000,2,4,.500,0,4,4,3,0,1,2,5,6,,away,/boxscores/200104040CHH.html
Jake Tsakalidis,21:00,1,2,.500,0,0,,2,4,.500,5,7,12,0,0,0,1,4,4,,away,/boxscores/200104040CHH.html
Tom Gugliotta,27:00,5,14,.357,0,0,,0,0,,0,0,0,1,0,0,1,2,10,,away,/boxscores/200104040CHH.html
Tony Delk,20:00,5,13,.385,2,3,.667,3,5,.600,3,2,5,0,0,0,0,2,15,,away,/boxscores/200104040CHH.html
Chris Dudley,19:00,4,4,1.000,0,0,,0,2,.000,3,2,5,0,1,0,0,1,8,,away,/boxscores/200104040CHH.html
Vinny Del Negro,13:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,1,0,2,,away,/boxscores/200104040CHH.html
Rodney Rogers,11:00,1,6,.167,0,2,.000,0,0,,1,3,4,1,1,0,0,1,2,,away,/boxscores/200104040CHH.html
Team Totals,240,41,92,.446,4,13,.308,17,28,.607,16,30,46,23,11,1,11,19,103,,away,/boxscores/200104040CHH.html
David Wesley,36:00,7,13,.538,2,2,1.000,6,6,1.000,1,2,3,4,2,0,2,5,22,,home,/boxscores/200104040CHH.html
Jamal Mashburn,36:00,4,14,.286,0,4,.000,2,2,1.000,0,4,4,12,0,0,5,2,10,,home,/boxscores/200104040CHH.html
Baron Davis,32:00,7,14,.500,1,4,.250,2,2,1.000,1,4,5,7,4,2,1,4,17,,home,/boxscores/200104040CHH.html
P.J. Brown,31:00,2,4,.500,0,0,,0,0,,1,5,6,1,1,2,4,6,4,,home,/boxscores/200104040CHH.html
Elden Campbell,28:00,3,10,.300,0,0,,3,4,.750,3,5,8,0,2,2,1,2,9,,home,/boxscores/200104040CHH.html
Eddie Robinson,29:00,8,14,.571,0,0,,2,2,1.000,2,2,4,1,0,1,0,1,18,,home,/boxscores/200104040CHH.html
Derrick Coleman,20:00,1,4,.250,0,2,.000,3,4,.750,1,4,5,1,0,1,1,2,5,,home,/boxscores/200104040CHH.html
Jamaal Magloire,18:00,0,2,.000,0,0,,0,0,,0,6,6,1,0,0,1,1,0,,home,/boxscores/200104040CHH.html
Eldridge Recasner,10:00,3,4,.750,1,1,1.000,2,2,1.000,0,1,1,0,0,0,1,0,9,,home,/boxscores/200104040CHH.html
Team Totals,240,35,79,.443,4,13,.308,20,22,.909,9,33,42,27,9,8,16,23,94,,home,/boxscores/200104040CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Jamal Mashburn,41:00,8,25,.320,1,3,.333,3,5,.600,0,9,9,6,2,0,1,2,20,,away,/boxscores/200104060MIA.html
Baron Davis,39:00,5,10,.500,1,4,.250,4,4,1.000,0,1,1,4,0,0,3,1,15,,away,/boxscores/200104060MIA.html
David Wesley,33:00,4,13,.308,2,7,.286,5,7,.714,1,5,6,1,1,0,4,1,15,,away,/boxscores/200104060MIA.html
Elden Campbell,27:00,4,7,.571,0,0,,2,2,1.000,2,7,9,0,2,0,1,5,10,,away,/boxscores/200104060MIA.html
P.J. Brown,27:00,2,5,.400,0,0,,4,4,1.000,2,5,7,0,1,1,2,5,8,,away,/boxscores/200104060MIA.html
Eddie Robinson,22:00,2,7,.286,0,0,,0,0,,3,0,3,0,0,0,0,0,4,,away,/boxscores/200104060MIA.html
Jamaal Magloire,21:00,1,5,.200,0,0,,0,0,,1,2,3,0,0,3,0,2,2,,away,/boxscores/200104060MIA.html
Otis Thorpe,21:00,0,3,.000,0,0,,0,0,,0,6,6,0,0,0,1,3,0,,away,/boxscores/200104060MIA.html
Eldridge Recasner,9:00,1,2,.500,0,1,.000,0,0,,0,4,4,1,0,0,2,0,2,,away,/boxscores/200104060MIA.html
Team Totals,240,27,77,.351,4,15,.267,18,22,.818,9,39,48,12,6,4,14,19,76,,away,/boxscores/200104060MIA.html
Anthony Mason,45:00,9,19,.474,0,0,,4,4,1.000,3,4,7,3,0,0,2,2,22,,home,/boxscores/200104060MIA.html
Tim Hardaway,37:00,0,7,.000,0,4,.000,0,0,,0,5,5,12,3,0,2,3,0,,home,/boxscores/200104060MIA.html
Brian Grant,34:00,4,9,.444,0,0,,4,6,.667,1,5,6,0,3,0,3,3,12,,home,/boxscores/200104060MIA.html
Dan Majerle,33:00,5,9,.556,3,7,.429,0,1,.000,1,5,6,0,1,0,1,0,13,,home,/boxscores/200104060MIA.html
Bruce Bowen,28:00,3,8,.375,2,5,.400,0,2,.000,0,2,2,2,1,0,2,4,8,,home,/boxscores/200104060MIA.html
Alonzo Mourning,27:00,5,13,.385,0,0,,2,7,.286,3,2,5,1,0,4,0,1,12,,home,/boxscores/200104060MIA.html
Anthony Carter,19:00,3,9,.333,0,0,,0,0,,0,2,2,4,1,0,1,3,6,,home,/boxscores/200104060MIA.html
Cedric Ceballos,12:00,4,6,.667,0,1,.000,0,0,,1,4,5,0,0,0,0,1,8,,home,/boxscores/200104060MIA.html
A.C. Green,5:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,,home,/boxscores/200104060MIA.html
Team Totals,240,33,81,.407,5,17,.294,10,20,.500,9,31,40,22,9,4,11,18,81,,home,/boxscores/200104060MIA.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Jerry Stackhouse,43:00,11,30,.367,1,5,.200,7,7,1.000,0,5,5,6,1,1,2,2,30,,away,/boxscores/200104070CHH.html
Ben Wallace,41:00,2,4,.500,0,0,,5,8,.625,9,15,24,2,0,3,0,4,9,,away,/boxscores/200104070CHH.html
Chucky Atkins,37:00,8,15,.533,3,5,.600,6,6,1.000,0,1,1,5,1,0,5,1,25,,away,/boxscores/200104070CHH.html
Corliss Williamson,33:00,7,13,.538,0,0,,0,3,.000,1,1,2,1,3,0,0,1,14,,away,/boxscores/200104070CHH.html
Joe Smith,32:00,4,17,.235,0,0,,3,3,1.000,3,4,7,2,0,0,0,5,11,,away,/boxscores/200104070CHH.html
Mikki Moore,21:00,1,3,.333,0,0,,0,0,,1,4,5,0,1,1,1,2,2,,away,/boxscores/200104070CHH.html
Jud Buechler,14:00,2,4,.500,0,0,,0,0,,0,4,4,1,1,0,0,1,4,,away,/boxscores/200104070CHH.html
Mateen Cleaves,11:00,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,4,1,0,,away,/boxscores/200104070CHH.html
Dana Barros,8:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,,away,/boxscores/200104070CHH.html
Team Totals,240,36,88,.409,4,10,.400,21,27,.778,15,36,51,19,7,5,12,17,97,,away,/boxscores/200104070CHH.html
Jamal Mashburn,39:00,7,23,.304,2,2,1.000,2,3,.667,1,3,4,5,0,1,1,5,18,,home,/boxscores/200104070CHH.html
Baron Davis,37:00,8,13,.615,2,3,.667,2,3,.667,4,3,7,6,2,1,3,4,20,,home,/boxscores/200104070CHH.html
David Wesley,36:00,3,11,.273,0,1,.000,2,2,1.000,1,0,1,7,2,0,2,2,8,,home,/boxscores/200104070CHH.html
Elden Campbell,29:00,7,11,.636,0,1,.000,6,6,1.000,6,6,12,2,1,0,2,2,20,,home,/boxscores/200104070CHH.html
P.J. Brown,26:00,2,6,.333,0,0,,1,1,1.000,4,9,13,0,1,1,2,4,5,,home,/boxscores/200104070CHH.html
Derrick Coleman,23:00,2,7,.286,0,0,,5,6,.833,1,4,5,2,0,0,1,3,9,,home,/boxscores/200104070CHH.html
Eddie Robinson,17:00,3,5,.600,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,8,,home,/boxscores/200104070CHH.html
Jamaal Magloire,12:00,1,3,.333,0,0,,0,4,.000,2,4,6,0,1,2,0,3,2,,home,/boxscores/200104070CHH.html
Tim James,7:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,0,0,2,,home,/boxscores/200104070CHH.html
Otis Thorpe,7:00,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,1,0,,home,/boxscores/200104070CHH.html
Eldridge Recasner,7:00,0,3,.000,0,1,.000,0,2,.000,1,1,2,1,0,0,0,0,0,,home,/boxscores/200104070CHH.html
Team Totals,240,34,86,.395,4,8,.500,20,29,.690,20,33,53,24,7,6,12,24,92,,home,/boxscores/200104070CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Baron Davis,43:00,6,11,.545,1,4,.250,3,4,.750,1,2,3,8,2,1,5,3,16,,away,/boxscores/200104090NYK.html
David Wesley,39:00,7,13,.538,3,6,.500,5,8,.625,3,0,3,6,4,0,4,0,22,,away,/boxscores/200104090NYK.html
P.J. Brown,39:00,1,6,.167,0,0,,4,4,1.000,3,3,6,0,0,1,1,6,6,,away,/boxscores/200104090NYK.html
Jamal Mashburn,37:00,9,14,.643,3,3,1.000,2,4,.500,0,4,4,3,0,0,3,6,23,,away,/boxscores/200104090NYK.html
Elden Campbell,33:00,8,14,.571,0,0,,8,12,.667,1,3,4,1,1,0,1,3,24,,away,/boxscores/200104090NYK.html
Eddie Robinson,19:00,2,5,.400,0,0,,0,0,,0,2,2,1,0,0,0,0,4,,away,/boxscores/200104090NYK.html
Derrick Coleman,14:00,0,2,.000,0,2,.000,0,0,,1,2,3,0,0,0,2,4,0,,away,/boxscores/200104090NYK.html
Jamaal Magloire,7:00,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,1,0,2,3,,away,/boxscores/200104090NYK.html
Hersey Hawkins,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,away,/boxscores/200104090NYK.html
Otis Thorpe,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,,away,/boxscores/200104090NYK.html
Team Totals,240,34,67,.507,7,15,.467,23,34,.676,11,18,29,19,7,3,16,25,98,,away,/boxscores/200104090NYK.html
Latrell Sprewell,46:00,10,16,.625,1,2,.500,0,0,,1,4,5,5,4,0,7,4,21,,home,/boxscores/200104090NYK.html
Marcus Camby,39:00,5,12,.417,0,0,,7,12,.583,5,13,18,4,2,3,1,2,17,,home,/boxscores/200104090NYK.html
Glen Rice,34:00,6,13,.462,0,4,.000,4,4,1.000,1,2,3,2,0,0,1,5,16,,home,/boxscores/200104090NYK.html
Kurt Thomas,33:00,10,13,.769,0,0,,2,2,1.000,2,2,4,2,2,1,2,4,22,,home,/boxscores/200104090NYK.html
Mark Jackson,32:00,3,4,.750,1,1,1.000,2,2,1.000,0,2,2,7,0,0,3,3,9,,home,/boxscores/200104090NYK.html
Charlie Ward,31:00,5,7,.714,3,3,1.000,1,1,1.000,0,2,2,1,2,0,0,4,14,,home,/boxscores/200104090NYK.html
Othella Harrington,23:00,6,7,.857,0,0,,2,4,.500,1,1,2,0,0,1,1,2,14,,home,/boxscores/200104090NYK.html
Travis Knight,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,home,/boxscores/200104090NYK.html
Rick Brunson,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,home,/boxscores/200104090NYK.html
Team Totals,240,45,73,.616,5,10,.500,18,25,.720,10,26,36,21,10,5,15,24,113,,home,/boxscores/200104090NYK.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Keith Van Horn,35:00,5,14,.357,1,2,.500,3,4,.750,4,7,11,3,1,1,2,3,14,,away,/boxscores/200104120CHH.html
Johnny Newman,30:00,4,10,.400,2,5,.400,6,6,1.000,1,2,3,3,1,0,1,4,16,,away,/boxscores/200104120CHH.html
Lucious Harris,28:00,5,14,.357,1,4,.250,2,2,1.000,1,1,2,2,1,1,1,2,13,,away,/boxscores/200104120CHH.html
Doug Overton,19:00,1,4,.250,0,0,,0,0,,0,1,1,2,0,0,1,3,2,,away,/boxscores/200104120CHH.html
Evan Eschmeyer,18:00,1,3,.333,0,0,,0,0,,3,2,5,1,2,0,0,4,2,,away,/boxscores/200104120CHH.html
Eddie Gill,26:00,1,7,.143,0,2,.000,0,0,,0,0,0,5,1,0,3,1,2,,away,/boxscores/200104120CHH.html
Mark Strickland,25:00,3,9,.333,0,0,,3,4,.750,1,4,5,1,1,0,0,1,9,,away,/boxscores/200104120CHH.html
Aaron Williams,24:00,2,9,.222,0,0,,2,2,1.000,1,4,5,0,1,0,3,4,6,,away,/boxscores/200104120CHH.html
Jamel Thomas,23:00,4,10,.400,1,2,.500,0,0,,4,3,7,0,1,0,3,2,9,,away,/boxscores/200104120CHH.html
Soumaila Samake,6:00,1,3,.333,0,0,,1,2,.500,1,1,2,0,0,1,0,0,3,,away,/boxscores/200104120CHH.html
Vladimir Stepania,6:00,1,3,.333,0,0,,0,0,,2,1,3,1,0,0,1,0,2,,away,/boxscores/200104120CHH.html
Team Totals,240,28,86,.326,5,15,.333,17,20,.850,18,26,44,18,9,3,15,24,78,,away,/boxscores/200104120CHH.html
Baron Davis,38:00,6,10,.600,0,2,.000,4,6,.667,2,4,6,8,1,1,1,2,16,,home,/boxscores/200104120CHH.html
Jamal Mashburn,36:00,3,11,.273,0,2,.000,6,12,.500,1,7,8,4,1,0,3,2,12,,home,/boxscores/200104120CHH.html
Elden Campbell,35:00,6,9,.667,0,0,,10,11,.909,1,8,9,1,1,1,1,4,22,,home,/boxscores/200104120CHH.html
P.J. Brown,29:00,3,5,.600,0,0,,0,0,,6,6,12,2,0,0,3,1,6,,home,/boxscores/200104120CHH.html
David Wesley,28:00,0,13,.000,0,1,.000,0,0,,0,1,1,1,2,0,4,4,0,,home,/boxscores/200104120CHH.html
Eddie Robinson,29:00,7,12,.583,0,0,,4,4,1.000,1,5,6,2,3,1,1,1,18,,home,/boxscores/200104120CHH.html
Jamaal Magloire,13:00,2,2,1.000,0,0,,3,5,.600,2,0,2,0,0,2,0,2,7,,home,/boxscores/200104120CHH.html
Scott Burrell,12:00,2,5,.400,1,2,.500,0,0,,1,0,1,0,0,0,0,2,5,,home,/boxscores/200104120CHH.html
Otis Thorpe,11:00,0,1,.000,0,0,,0,0,,0,2,2,1,1,1,2,2,0,,home,/boxscores/200104120CHH.html
Eldridge Recasner,9:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,2,2,2,,home,/boxscores/200104120CHH.html
Team Totals,240,30,70,.429,1,8,.125,27,38,.711,14,33,47,20,9,6,17,22,88,,home,/boxscores/200104120CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,away,game_id
Jamal Mashburn,41:00,6,17,.353,1,3,.333,7,8,.875,1,6,7,8,1,0,4,2,20,,away,/boxscores/200104150DET.html
Baron Davis,36:00,6,11,.545,1,4,.250,0,1,.000,3,5,8,4,0,0,6,4,13,,away,/boxscores/200104150DET.html
P.J. Brown,36:00,6,10,.600,0,0,,1,3,.333,4,8,12,1,0,1,2,1,13,,away,/boxscores/200104150DET.html
David Wesley,35:00,6,12,.500,0,1,.000,5,6,.833,0,3,3,6,0,0,0,3,17,,away,/boxscores/200104150DET.html
Elden Campbell,34:00,3,7,.429,0,0,,2,4,.500,2,5,7,2,2,1,3,4,8,,away,/boxscores/200104150DET.html
Eddie Robinson,23:00,6,10,.600,0,0,,2,2,1.000,1,4,5,1,0,0,1,2,14,,away,/boxscores/200104150DET.html
Derrick Coleman,15:00,2,6,.333,1,1,1.000,2,2,1.000,0,5,5,1,0,1,1,2,7,,away,/boxscores/200104150DET.html
Jamaal Magloire,9:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,,away,/boxscores/200104150DET.html
