Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Stacey Augmon,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,away,/boxscores/199911200CHH.html
Bonzi Wells,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,away,/boxscores/199911200CHH.html
Team Totals,265,39,90,.433,3,13,.231,19,22,.864,8,33,41,33,5,7,13,33,100,away,/boxscores/199911200CHH.html
Eddie Jones,46:00,9,17,.529,3,5,.600,1,2,.500,2,7,9,5,2,0,3,2,22,home,/boxscores/199911200CHH.html
Elden Campbell,44:00,5,15,.333,0,0,,14,19,.737,3,8,11,0,1,3,4,5,24,home,/boxscores/199911200CHH.html
Anthony Mason,44:00,3,13,.231,0,0,,3,5,.600,4,5,9,1,0,0,4,2,9,home,/boxscores/199911200CHH.html
David Wesley,38:00,2,8,.250,0,1,.000,2,2,1.000,2,4,6,9,1,0,2,3,6,home,/boxscores/199911200CHH.html
Derrick Coleman,9:00,2,5,.400,0,0,,0,0,,2,0,2,0,0,0,1,1,4,home,/boxscores/199911200CHH.html
Bobby Phills,31:00,5,15,.333,0,6,.000,0,0,,2,0,2,1,1,0,2,5,10,home,/boxscores/199911200CHH.html
Brad Miller,29:00,3,7,.429,0,0,,5,6,.833,3,5,8,1,1,1,1,0,11,home,/boxscores/199911200CHH.html
Baron Davis,15:00,3,5,.600,0,0,,0,2,.000,1,3,4,4,1,0,1,5,6,home,/boxscores/199911200CHH.html
Todd Fuller,9:00,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,3,4,home,/boxscores/199911200CHH.html
Team Totals,265,34,89,.382,3,12,.250,25,36,.694,20,32,52,21,7,4,18,26,96,home,/boxscores/199911200CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Shareef Abdur-Rahim,39:00,6,17,.353,0,2,.000,3,5,.600,3,18,21,2,0,2,1,4,15,away,/boxscores/199911240CHH.html
Michael Dickerson,36:00,6,15,.400,0,3,.000,4,4,1.000,2,2,4,3,1,0,2,3,16,away,/boxscores/199911240CHH.html
Mike Bibby,31:00,3,7,.429,0,1,.000,3,3,1.000,0,0,0,6,0,0,4,4,9,away,/boxscores/199911240CHH.html
Othella Harrington,30:00,4,8,.500,0,0,,0,0,,2,4,6,0,1,0,5,5,8,away,/boxscores/199911240CHH.html
Bryant Reeves,24:00,1,5,.200,0,0,,0,2,.000,0,4,4,3,0,0,0,5,2,away,/boxscores/199911240CHH.html
Felipe Lopez,27:00,5,11,.455,0,1,.000,3,7,.429,1,1,2,0,0,0,2,1,13,away,/boxscores/199911240CHH.html
Milt Palacio,17:00,2,6,.333,0,0,,0,2,.000,2,2,4,1,1,0,4,2,4,away,/boxscores/199911240CHH.html
Cherokee Parks,16:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,3,2,3,0,away,/boxscores/199911240CHH.html
Antoine Carr,15:00,2,5,.400,0,0,,0,0,,0,2,2,0,1,0,1,2,4,away,/boxscores/199911240CHH.html
Joe Stephens,5:00,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,1,0,2,away,/boxscores/199911240CHH.html
Team Totals,240,30,78,.385,0,8,.000,13,23,.565,11,34,45,16,4,5,22,29,73,away,/boxscores/199911240CHH.html
Anthony Mason,40:00,4,7,.571,0,0,,4,6,.667,1,9,10,4,1,0,2,4,12,home,/boxscores/199911240CHH.html
David Wesley,35:00,3,9,.333,0,1,.000,6,6,1.000,0,4,4,8,1,0,1,0,12,home,/boxscores/199911240CHH.html
Eddie Jones,32:00,4,15,.267,0,3,.000,6,6,1.000,0,3,3,6,5,2,2,5,14,home,/boxscores/199911240CHH.html
Elden Campbell,28:00,3,8,.375,0,0,,3,8,.375,1,5,6,0,2,3,0,2,9,home,/boxscores/199911240CHH.html
Derrick Coleman,24:00,2,7,.286,0,0,,3,4,.750,2,6,8,1,0,2,4,2,7,home,/boxscores/199911240CHH.html
Bobby Phills,32:00,5,11,.455,0,1,.000,2,2,1.000,1,1,2,1,2,0,1,2,12,home,/boxscores/199911240CHH.html
Baron Davis,23:00,4,6,.667,1,2,.500,1,2,.500,0,1,1,1,3,0,3,4,10,home,/boxscores/199911240CHH.html
Brad Miller,18:00,4,6,.667,0,0,,3,5,.600,2,3,5,1,0,2,2,5,11,home,/boxscores/199911240CHH.html
Todd Fuller,8:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,1,2,home,/boxscores/199911240CHH.html
Team Totals,240,30,71,.423,1,7,.143,28,39,.718,7,34,41,22,14,10,15,25,89,home,/boxscores/199911240CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Rod Strickland,30:00,4,10,.400,0,0,,3,6,.500,1,3,4,10,1,0,5,1,11,away,/boxscores/199911260CHH.html
Richard Hamilton,25:00,7,17,.412,0,1,.000,2,5,.400,3,1,4,0,0,0,3,1,16,away,/boxscores/199911260CHH.html
