game_id,season,home_points,away_points,variable,value,points
4819,2004,86.0,81.0,away_team,San Antonio Spurs,81.0
4820,2004,82.0,81.0,away_team,Detroit Pistons,81.0
4821,2004,101.0,112.0,away_team,Milwaukee Bucks,112.0
4822,2004,85.0,77.0,away_team,Washington Wizards,77.0
4823,2004,101.0,92.0,away_team,Minnesota Timberwolves,92.0
4824,2004,98.0,89.0,away_team,Milwaukee Bucks,89.0
4825,2004,90.0,89.0,away_team,Toronto Raptors,89.0
4826,2004,103.0,99.0,away_team,Dallas Mavericks,99.0
4827,2004,115.0,91.0,away_team,Sacramento Kings,91.0
4828,2004,97.0,111.0,away_team,Memphis Grizzlies,111.0
4829,2004,90.0,105.0,away_team,Miami Heat,105.0
4830,2004,99.0,94.0,away_team,Phoenix Suns,94.0
4831,2004,91.0,85.0,away_team,Los Angeles Clippers,85.0
4832,2004,84.0,77.0,away_team,Utah Jazz,77.0
4833,2004,84.0,76.0,away_team,New Orleans Hornets,76.0
4834,2004,94.0,103.0,away_team,Washington Wizards,103.0
4835,2004,84.0,75.0,away_team,Detroit Pistons,75.0
4836,2004,102.0,93.0,away_team,New Jersey Nets,93.0
4837,2004,105.0,115.0,away_team,Milwaukee Bucks,115.0
4838,2004,99.0,78.0,away_team,Washington Wizards,78.0
4839,2004,90.0,73.0,away_team,Minnesota Timberwolves,73.0
4840,2004,109.0,86.0,away_team,Houston Rockets,86.0
4841,2004,119.0,118.0,away_team,Dallas Mavericks,118.0
4842,2004,94.0,99.0,away_team,Phoenix Suns,99.0
4843,2004,108.0,101.0,away_team,Toronto Raptors,101.0
4844,2004,92.0,107.0,away_team,Indiana Pacers,107.0
4845,2004,86.0,71.0,away_team,Cleveland Cavaliers,71.0
4846,2004,102.0,86.0,away_team,Denver Nuggets,86.0
4847,2004,97.0,88.0,away_team,Chicago Bulls,88.0
4848,2004,107.0,104.0,away_team,New Jersey Nets,104.0
4849,2004,100.0,85.0,away_team,New York Knicks,85.0
4850,2004,82.0,98.0,away_team,Minnesota Timberwolves,98.0
4851,2004,115.0,108.0,away_team,Seattle SuperSonics,108.0
4852,2004,105.0,76.0,away_team,Phoenix Suns,76.0
4853,2004,85.0,83.0,away_team,Denver Nuggets,83.0
4854,2004,89.0,65.0,away_team,Philadelphia 76ers,65.0
4855,2004,105.0,77.0,away_team,Los Angeles Clippers,77.0
4856,2004,87.0,80.0,away_team,Miami Heat,80.0
4857,2004,91.0,84.0,away_team,Utah Jazz,84.0
4858,2004,107.0,111.0,away_team,Houston Rockets,111.0
4859,2004,88.0,118.0,away_team,Dallas Mavericks,118.0
4860,2004,100.0,92.0,away_team,Washington Wizards,92.0
4861,2004,88.0,94.0,away_team,Memphis Grizzlies,94.0
4862,2004,133.0,136.0,away_team,Memphis Grizzlies,136.0
4863,2004,88.0,94.0,away_team,Minnesota Timberwolves,94.0
4864,2004,105.0,96.0,away_team,Chicago Bulls,96.0
4865,2004,80.0,84.0,away_team,Boston Celtics,84.0
4866,2004,92.0,91.0,away_team,Portland Trail Blazers,91.0
4867,2004,101.0,95.0,away_team,Washington Wizards,95.0
4868,2004,101.0,93.0,away_team,Cleveland Cavaliers,93.0
4869,2004,126.0,109.0,away_team,Cleveland Cavaliers,109.0
4870,2004,124.0,119.0,away_team,Seattle SuperSonics,119.0
4871,2004,107.0,88.0,away_team,New Orleans Hornets,88.0
4872,2004,95.0,86.0,away_team,Indiana Pacers,86.0
4873,2004,95.0,71.0,away_team,Golden State Warriors,71.0
4874,2004,97.0,100.0,away_team,Miami Heat,100.0
4875,2004,98.0,105.0,away_team,Portland Trail Blazers,105.0
4876,2004,108.0,99.0,away_team,Los Angeles Clippers,99.0
4877,2004,111.0,78.0,away_team,Milwaukee Bucks,78.0
4878,2004,90.0,83.0,away_team,Seattle SuperSonics,83.0
4879,2004,91.0,109.0,away_team,Chicago Bulls,109.0
4880,2004,107.0,89.0,away_team,Sacramento Kings,89.0
4881,2004,78.0,85.0,away_team,Golden State Warriors,85.0
4882,2004,89.0,76.0,away_team,New Orleans Hornets,76.0
4883,2004,99.0,103.0,away_team,New Jersey Nets,103.0
4884,2004,127.0,117.0,away_team,Sacramento Kings,117.0
4885,2004,93.0,85.0,away_team,Houston Rockets,85.0
4886,2004,82.0,88.0,away_team,Portland Trail Blazers,88.0
4887,2004,111.0,106.0,away_team,Golden State Warriors,106.0
4888,2004,114.0,110.0,away_team,Los Angeles Clippers,110.0
4889,2004,110.0,100.0,away_team,Houston Rockets,100.0
4890,2004,92.0,84.0,away_team,Miami Heat,84.0
4891,2004,84.0,64.0,away_team,Toronto Raptors,64.0
4892,2004,109.0,99.0,away_team,Phoenix Suns,99.0
4893,2004,107.0,89.0,away_team,Cleveland Cavaliers,89.0
4894,2004,91.0,73.0,away_team,Washington Wizards,73.0
4895,2004,108.0,83.0,away_team,New York Knicks,83.0
4896,2004,87.0,95.0,away_team,Atlanta Hawks,95.0
4897,2004,86.0,97.0,away_team,Los Angeles Lakers,97.0
4898,2004,81.0,94.0,away_team,San Antonio Spurs,94.0
4899,2004,83.0,97.0,away_team,Miami Heat,97.0
4900,2004,100.0,103.0,away_team,Golden State Warriors,103.0
4901,2004,124.0,103.0,away_team,Phoenix Suns,103.0
4902,2004,75.0,86.0,away_team,New York Knicks,86.0
4903,2004,81.0,94.0,away_team,New Orleans Hornets,94.0
4904,2004,79.0,61.0,away_team,Indiana Pacers,61.0
4905,2004,94.0,99.0,away_team,Sacramento Kings,99.0
4906,2004,92.0,97.0,away_team,Utah Jazz,97.0
4907,2004,89.0,95.0,away_team,San Antonio Spurs,95.0
4908,2004,90.0,82.0,away_team,Memphis Grizzlies,82.0
4909,2004,106.0,89.0,away_team,Atlanta Hawks,89.0
4910,2004,96.0,88.0,away_team,New Orleans Hornets,88.0
4911,2004,83.0,90.0,away_team,Milwaukee Bucks,90.0
4912,2004,112.0,102.0,away_team,Boston Celtics,102.0
4913,2004,92.0,81.0,away_team,Memphis Grizzlies,81.0
4914,2004,100.0,103.0,away_team,Philadelphia 76ers,103.0
4915,2004,86.0,87.0,away_team,Toronto Raptors,87.0
4916,2004,118.0,108.0,away_team,Seattle SuperSonics,108.0
4917,2004,102.0,86.0,away_team,Orlando Magic,86.0
4918,2004,97.0,90.0,away_team,Houston Rockets,90.0
4919,2004,107.0,86.0,away_team,New York Knicks,86.0
4920,2004,80.0,91.0,away_team,Portland Trail Blazers,91.0
4921,2004,98.0,103.0,away_team,Milwaukee Bucks,103.0
4922,2004,105.0,91.0,away_team,New Orleans Hornets,91.0
4923,2004,79.0,102.0,away_team,Houston Rockets,102.0
4924,2004,92.0,74.0,away_team,Cleveland Cavaliers,74.0
4925,2004,104.0,101.0,away_team,Boston Celtics,101.0
4926,2004,116.0,107.0,away_team,Washington Wizards,107.0
4927,2004,96.0,82.0,away_team,Chicago Bulls,82.0
4928,2004,96.0,111.0,away_team,Denver Nuggets,111.0
