away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
MIL,.525,.139,102.4,23.1,91.8,14.7,DET,.565,.338,123.0,40.6,91.8,15.5,/boxscores/199911210DET.html
TOR,.500,.291,115.3,27.1,96.3,8.2,LAL,.484,.154,106.0,27.8,96.3,9.7,/boxscores/199911210LAL.html
SEA,.418,.110,89.2,34.0,96.4,15.3,PHO,.477,.170,102.7,28.6,96.4,12.4,/boxscores/199911210PHO.html
HOU,.489,.126,105.8,30.6,99.3,13.7,SAC,.520,.071,110.8,33.3,99.3,12.7,/boxscores/199911210SAC.html
MIN,.563,.188,115.2,35.0,91.1,16.6,VAN,.404,.301,88.9,25.0,91.1,15.7,/boxscores/199911210VAN.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
IND,.416,.124,94.9,25.5,89.6,10.3,BOS,.506,.146,106.1,31.7,89.6,12.5,/boxscores/199911220BOS.html
SAS,.440,.238,98.3,28.6,95.7,13.4,PHI,.391,.207,95.1,26.4,95.7,8.8,/boxscores/199911220PHI.html
MIN,.486,.301,103.3,27.3,90.0,16.7,UTA,.609,.167,120.0,20.7,90.0,12.2,/boxscores/199911220UTA.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
MIA,.517,.144,113.7,26.2,93.3,11.0,ATL,.574,.247,121.2,40.5,93.3,13.8,/boxscores/199911230ATL.html
POR,.426,.284,104.6,36.2,95.6,13.8,CLE,.526,.303,107.7,10.5,95.6,13.7,/boxscores/199911230CLE.html
DAL,.478,.132,99.1,28.3,99.9,14.8,HOU,.583,.156,119.1,38.5,99.9,16.8,/boxscores/199911230HOU.html
NYK,.438,.296,102.8,22.5,92.4,11.3,LAC,.468,.364,108.2,25.0,92.4,12.5,/boxscores/199911230LAC.html
TOR,.461,.124,97.4,27.9,95.4,15.2,PHO,.493,.250,98.5,28.2,95.4,19.5,/boxscores/199911230PHO.html
NJN,.405,.110,98.1,35.5,93.8,9.3,SAC,.559,.118,111.9,41.5,93.8,17.0,/boxscores/199911230SAC.html
VAN,.412,.200,99.5,31.0,87.4,12.2,WAS,.445,.329,101.8,45.0,87.4,19.6,/boxscores/199911230WAS.html
away,away_efg_pct,away_ft_rate,away_off_rtg,away_orb_pct,away_pace,away_tov_pct,home,home_efg_pct,home_ft_rate,home_off_rtg,home_orb_pct,home_pace,home_tov_pct,id
SAS,.630,.235,130.4,26.5,92.8,13.4,BOS,.466,.169,105.6,24.4,92.8,7.6,/boxscores/199911240BOS.html
