away_team,away_points,home_team,home_points,away_rest,home_rest
Golden State Warriors,114,Brooklyn Nets,98,0.0,1.0
Los Angeles Lakers,91,Detroit Pistons,111,1.0,1.0
Phoenix Suns,93,Memphis Grizzlies,95,1.0,2.0
Sacramento Kings,95,Oklahoma City Thunder,98,0.0,2.0
Dallas Mavericks,116,Washington Wizards,104,1.0,1.0
Phoenix Suns,103,Chicago Bulls,101,0.0,1.0
Detroit Pistons,84,Charlotte Hornets,104,0.0,1.0
Washington Wizards,114,Miami Heat,103,0.0,1.0
Portland Trail Blazers,88,Milwaukee Bucks,90,1.0,1.0
Los Angeles Clippers,110,Minnesota Timberwolves,106,1.0,1.0
Boston Celtics,111,New Orleans Pelicans,93,1.0,2.0
Dallas Mavericks,104,New York Knicks,97,0.0,1.0
San Antonio Spurs,119,Philadelphia 76ers,68,1.0,1.0
Los Angeles Lakers,93,Toronto Raptors,102,0.0,1.0
Houston Rockets,105,Brooklyn Nets,110,2.0,1.0
Portland Trail Blazers,100,Cleveland Cavaliers,105,0.0,2.0
Orlando Magic,85,Denver Nuggets,74,2.0,2.0
Golden State Warriors,131,Indiana Pacers,123,1.0,2.0
Oklahoma City Thunder,125,Memphis Grizzlies,88,1.0,1.0
Utah Jazz,106,Sacramento Kings,114,2.0,1.0
Chicago Bulls,100,Boston Celtics,105,1.0,1.0
Miami Heat,81,Charlotte Hornets,99,1.0,1.0
Atlanta Hawks,98,Dallas Mavericks,95,4.0,1.0
Memphis Grizzlies,93,Detroit Pistons,92,0.0,1.0
Los Angeles Clippers,109,Milwaukee Bucks,95,1.0,1.0
Los Angeles Lakers,122,Minnesota Timberwolves,123,1.0,1.0
Orlando Magic,104,Phoenix Suns,107,0.0,1.0
San Antonio Spurs,94,Toronto Raptors,97,1.0,1.0
New York Knicks,85,Utah Jazz,106,1.0,0.0
Houston Rockets,109,Washington Wizards,103,0.0,1.0
Philadelphia 76ers,91,Brooklyn Nets,100,2.0,1.0
Los Angeles Clippers,80,Chicago Bulls,83,0.0,0.0
Atlanta Hawks,94,Oklahoma City Thunder,107,0.0,1.0
New York Knicks,97,Sacramento Kings,99,0.0,1.0
Golden State Warriors,124,Boston Celtics,119,2.0,1.0
Minnesota Timberwolves,108,Denver Nuggets,111,1.0,2.0
Miami Heat,83,Indiana Pacers,96,1.0,2.0
Charlotte Hornets,123,Memphis Grizzlies,99,1.0,1.0
Washington Wizards,105,New Orleans Pelicans,107,1.0,3.0
Cleveland Cavaliers,111,Orlando Magic,76,2.0,1.0
Detroit Pistons,107,Philadelphia 76ers,95,1.0,0.0
Portland Trail Blazers,106,Phoenix Suns,96,2.0,1.0
Los Angeles Lakers,87,San Antonio Spurs,109,1.0,1.0
Milwaukee Bucks,83,Toronto Raptors,90,1.0,1.0
Oklahoma City Thunder,94,Utah Jazz,90,0.0,1.0
San Antonio Spurs,103,Atlanta Hawks,78,0.0,1.0
Los Angeles Clippers,105,Brooklyn Nets,100,1.0,1.0
New Orleans Pelicans,94,Chicago Bulls,98,0.0,1.0
Boston Celtics,98,Charlotte Hornets,93,0.0,0.0
Washington Wizards,114,Dallas Mavericks,111,0.0,2.0
Indiana Pacers,96,Detroit Pistons,118,0.0,0.0
Los Angeles Lakers,97,Houston Rockets,126,0.0,2.0
Golden State Warriors,95,Milwaukee Bucks,108,0.0,0.0
New York Knicks,112,Portland Trail Blazers,110,1.0,0.0
Memphis Grizzlies,97,Miami Heat,100,1.0,1.0
Utah Jazz,98,Oklahoma City Thunder,104,1.0,1.0
Minnesota Timberwolves,101,Phoenix Suns,108,1.0,1.0
Philadelphia 76ers,76,Toronto Raptors,96,1.0,1.0
Miami Heat,100,Atlanta Hawks,88,0.0,1.0
Orlando Magic,105,Brooklyn Nets,82,2.0,1.0
Philadelphia 76ers,96,Chicago Bulls,115,0.0,1.0
Phoenix Suns,94,Dallas Mavericks,104,0.0,1.0
Houston Rockets,108,Denver Nuggets,114,1.0,2.0
Los Angeles Clippers,105,Detroit Pistons,103,1.0,1.0
Toronto Raptors,90,Indiana Pacers,106,0.0,1.0
Washington Wizards,95,Memphis Grizzlies,112,1.0,0.0
New Orleans Pelicans,101,Portland Trail Blazers,105,1.0,1.0
Utah Jazz,81,San Antonio Spurs,118,0.0,1.0
Cleveland Cavaliers,89,Boston Celtics,77,3.0,2.0
Milwaukee Bucks,95,Los Angeles Lakers,113,2.0,2.0
Denver Nuggets,112,Minnesota Timberwolves,100,0.0,1.0
Houston Rockets,97,Sacramento Kings,107,0.0,4.0
Philadelphia 76ers,106,Atlanta Hawks,127,1.0,1.0
Miami Heat,104,Brooklyn Nets,98,1.0,1.0
Memphis Grizzlies,85,Chicago Bulls,98,1.0,1.0
Boston Celtics,116,Detroit Pistons,119,0.0,1.0
Phoenix Suns,103,Golden State Warriors,128,1.0,3.0
Dallas Mavericks,81,Indiana Pacers,107,1.0,1.0
Milwaukee Bucks,90,Los Angeles Clippers,103,0.0,1.0
Minnesota Timberwolves,102,New York Knicks,107,0.0,3.0
Portland Trail Blazers,90,Oklahoma City Thunder,106,1.0,2.0
Charlotte Hornets,98,Orlando Magic,113,3.0,1.0
Washington Wizards,95,San Antonio Spurs,114,1.0,1.0
New Orleans Pelicans,104,Utah Jazz,94,1.0,1.0
Toronto Raptors,99,Charlotte Hornets,109,2.0,0.0
Oklahoma City Thunder,100,Cleveland Cavaliers,104,0.0,1.0
Houston Rockets,107,Los Angeles Lakers,87,1.0,1.0
Atlanta Hawks,109,Boston Celtics,101,1.0,1.0
Detroit Pistons,147,Chicago Bulls,144,1.0,1.0
Memphis Grizzlies,88,Dallas Mavericks,97,1.0,1.0
Milwaukee Bucks,112,Golden State Warriors,121,1.0,1.0
Brooklyn Nets,97,Indiana Pacers,104,1.0,1.0
Toronto Raptors,108,Miami Heat,94,0.0,1.0
Sacramento Kings,95,Minnesota Timberwolves,99,2.0,1.0
Portland Trail Blazers,94,Orlando Magic,102,1.0,1.0
New York Knicks,107,Philadelphia 76ers,97,1.0,1.0
New Orleans Pelicans,88,Phoenix Suns,104,1.0,1.0
Los Angeles Clippers,107,San Antonio Spurs,115,1.0,1.0
Denver Nuggets,88,Utah Jazz,97,2.0,1.0
Los Angeles Clippers,97,Houston Rockets,107,0.0,1.0
Indiana Pacers,84,Memphis Grizzlies,96,0.0,0.0
Chicago Bulls,91,New York Knicks,107,0.0,0.0
Los Angeles Lakers,78,Oklahoma City Thunder,118,1.0,1.0
Charlotte Hornets,101,Washington Wizards,109,1.0,2.0
Minnesota Timberwolves,100,Brooklyn Nets,85,1.0,1.0
